TBCA Oxota,OOH Oxota,Buy m.o. Oxota,Trial Oxota,Unaided Oxota,Consider T1 Oxota,OOH freq,Instore freq,Bar freq,Volume,Media coverage,WOM +ve,WOM =,Experience +ve,Experience =
1,0,0,0,0,0,1088.184,0.55,0,5,0,0,0,0,0
1,0,0,1,0,0,769.461,1.8,0,4,0,0,0,0,1
0,0,0,1,0,0,312.48,1,0,2,0,0,0,1,0
0,0,0,1,0,0,143.4522857,3,0,0.5,0,0,0,0,1
1,0,0,0,0,0,227.2114286,0.5,0,1.5,0,0,0,0,0
0,0,0,0,0,0,1083.282,0.6,0,1.5,0,0,0,0,0
1,0,0,1,0,0,2414.664,4,0,6,0,0,0,1,0
0,0,0,1,0,0,0,1.6,0,4.5,0,0,0,0,0
1,1,0,0,0,0,51.32571429,0.35,0,0.5,0,0,0,0,0
1,0,0,0,0,0,391.3845,6,0,6,0,0,0,0,0
1,0,0,1,0,0,0,0.2,0,1.5,0,0,1,0,0
1,0,0,0,0,0,1931.348571,3.3,3,4.5,0,1,0,1,0
1,1,0,1,1,1,380.25,4,0,1.5,0,0,0,1,0
1,0,1,1,1,1,1315.422,4,0,1.5,0,0,1,0,1
1,0,1,1,1,0,375.57,6,2,1.5,0,0,1,0,1
1,1,0,1,0,0,116.4394286,1.5,0,0.5,0,0,0,0,0
1,0,1,1,1,1,397.0311429,1,1,1.5,0,0,0,1,0
0,0,1,1,1,1,0,0.2,0,1.5,0,0,0,1,0
0,0,0,1,1,0,91.72285714,1.2,0,2.5,0,0,0,0,1
1,0,0,1,1,0,152.13,10,0,8,0,0,0,0,0
1,0,0,1,1,0,684.102,6,0,4.5,0,0,0,0,1
1,0,0,1,1,0,1588.488,0.275,0,1.5,0,0,0,0,1
1,1,1,1,1,1,384.2025,4,0,2.5,0,1,0,1,0
1,0,0,1,1,1,1355.508,0.3,0,0.5,0,0,0,1,0
0,0,0,1,1,1,1167.834,13,0,7.5,0,0,1,0,1
1,0,1,1,1,1,0,0.2,0,1.5,0,0,0,1,0
1,0,0,1,0,0,259.5345,8,0,7.5,0,0,1,1,0
1,1,0,1,0,0,152.565,3,0,1.5,0,0,0,0,1
1,1,0,1,0,0,257.982,5.5,0,5,0,0,0,1,0
